City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
243,Ilebo,CD,-4.3167,20.5833,86.11,52,82,2.91,broken clouds
244,Flinders,AU,-34.5833,150.8552,57.38,72,0,9.33,clear sky
245,Constitucion,CL,-35.3333,-72.4167,60.91,56,0,15.64,clear sky
246,Marana,US,32.4367,-111.2254,83.05,38,0,8.05,clear sky
247,Gornopravdinsk,RU,60.05,69.9,43.41,67,100,10.2,overcast clouds
248,Dikson,RU,73.5069,80.5464,33.1,98,100,27.76,snow
249,Saskylakh,RU,71.9167,114.0833,15.82,87,100,9.95,overcast clouds
250,Matara,LK,5.9485,80.5353,76.82,91,99,7.92,overcast clouds
251,Bubaque,GW,11.2833,-15.8333,82.72,73,68,10.09,broken clouds
252,Olafsvik,IS,64.8945,-23.7142,40.14,78,91,33.44,overcast clouds
253,Chunoyar,RU,57.4467,97.3217,30.63,91,77,2.68,broken clouds
254,Bani,DO,18.2833,-70.3333,87.85,63,37,9.37,scattered clouds
255,Halifax,CA,44.6453,-63.5724,64.35,91,100,18.41,overcast clouds
256,Kavieng,PG,-2.5744,150.7967,81.46,74,13,11.01,few clouds
257,Broken Hill,AU,-31.95,141.4333,55.24,58,1,6.91,clear sky
258,Bayan,CN,46.0833,127.4,47.61,91,1,5.79,clear sky
259,Eyl,SO,7.9803,49.8164,78.94,77,76,17.6,broken clouds
260,Anloga,GH,5.7947,0.8973,80.49,76,87,11.72,overcast clouds
261,Lahat,ID,-3.8,103.5333,73.69,96,100,2.39,moderate rain
262,Bay Roberts,CA,47.5999,-53.2648,63.66,72,87,1.99,overcast clouds
263,Vangaindrano,MG,-23.35,47.6,69.78,82,47,8.03,scattered clouds
264,Sabha,LY,27.0377,14.4283,88.9,17,8,7.18,clear sky
265,Esperance,AU,-33.8667,121.9,52.0,86,14,8.41,few clouds
266,Senador Jose Porfirio,BR,-2.5908,-51.9542,91.83,51,91,2.13,overcast clouds
267,Dicabisagan,PH,17.0818,122.4157,78.17,89,100,5.95,overcast clouds
268,Ridgecrest,US,35.6225,-117.6709,75.65,20,0,4.0,clear sky
269,College,US,64.8569,-147.8028,23.79,84,20,4.61,few clouds
270,Pokhara,NP,28.2333,83.9833,65.5,83,31,3.71,scattered clouds
271,Korla,CN,41.7597,86.1469,55.36,29,2,2.59,clear sky
272,Garowe,SO,8.4054,48.4845,85.01,42,72,14.5,broken clouds
273,Blagoyevo,RU,63.3667,47.9167,34.86,90,71,4.05,broken clouds
274,Lyuban,BY,52.7985,28.0048,46.78,76,21,6.93,few clouds
